Name,Salary
Danuel House,"$253,539 "
Dwight Howard,"$24,815,808 "
Kevin Huerter,"$2,302,841 "
Isaac Humphries,"$48,461 "
RJ Hunter,"$79,030 "
Chandler Hutchison,"$2,037,421 "
Serge Ibaka,"$22,166,053 "
Andre Iguodala,"$16,368,778 "
Gary Payton II,"$87,426 "
Glenn Robinson III,"$4,168,923 "
Ersan Ilyasova,"$7,161,340 "
Joe Ingles,"$12,834,610 "
Brandon Ingram,"$5,889,813 "
Andre Ingram,"$77,993 "
Kyrie Irving,"$20,562,447 "
Jonathan Isaac,"$5,083,610 "
Wesley Iwundu,"$1,410,008 "
Reggie Jackson,"$17,436,306 "
Josh Jackson,"$6,180,768 "
Jaren Jackson,"$6,059,230 "
Justin Jackson,"$2,872,597 "
Frank Jackson,"$1,410,008 "
Demetrius Jackson,"$174,027 "
LeBron James,"$36,475,929 "
Al Jefferson,"$4,092,194 "
Amile Jefferson,"$79,030 "
John Jenkins,"$599,310 "
Jonas Jerebko,"$2,215,392 "
Tyler Johnson,"$19,688,949 "
James Johnson,"$14,753,077 "
Wesley Johnson,"$6,275,380 "
Stanley Johnson,"$4,031,221 "
Amir Johnson,"$2,449,062 "
Dakari Johnson,"$1,410,008 "
Alize Johnson,"$857,789 "
BJ Johnson,"$145,385 "
Nikola Jokic,"$26,054,235 "
Tyus Jones,"$2,500,384 "
Damian Jones,"$1,580,559 "
Derrick Jones,"$1,547,464 "
Terrence Jones,"$203,155 "
Jalen Jones,"$79,030 "
Jemerrio Jones,"$53,372 "
DeAndre Jordan,"$23,424,948 "
Cory Joseph,"$8,128,121 "
Tim Hardaway Jr,"$17,724,317 "
Larry Nance Jr,"$2,324,765 "
Gary Trent Jr,"$857,789 "
Walter Lemon Jr,"$180,311 "
Frank Kaminsky,"$3,711,458 "
Enes Kanter,"$19,708,625 "
Luke Kennard,"$3,350,770 "
Michael Kidd-Gilchrist,"$13,299,632 "
George King,"$79,030 "
Maxi Kleber,"$1,410,008 "
Brandon Knight,"$14,968,480 "
Kevin Knox,"$3,831,153 "
Furkan Korkmaz,"$1,780,104 "
Luke Kornet,"$1,656,581 "
Kyle Korver,"$7,734,247 "
Kosta Koufos,"$8,940,933 "
Rodions Kurucs,"$1,728,952 "
Kyle Kuzma,"$1,728,788 "
Skal Labissiere,"$1,580,559 "
Jeremy Lamb,"$7,161,340 "
Zach LaVine,"$19,949,448 "
Jake Layman,"$1,580,559 "
TJ Leaf,"$2,463,050 "
Courtney Lee,"$12,536,212 "
Damion Lee,"$79,030 "
Alex Len,"$4,450,261 "
Kawhi Leonard,"$23,646,813 "
Meyers Leonard,"$10,839,717 "
Jon Leuer,"$10,233,229 "
Caris LeVert,"$1,742,047 "
Damian Lillard,"$28,622,536 "
Jeremy Lin,"$12,805,239 "
Shaun Livingston,"$8,499,172 "
Zach Lofton,"$79,030 "
Naz Long,"$79,030 "
Kevon Looney,"$1,603,124 "
Robin Lopez,"$14,688,676 "
Brook Lopez,"$3,459,950 "
Kevin Love,"$24,674,935 "
Kyle Lowry,"$33,453,690 "
Jordan Loyd,"$79,030 "
Kalin Lucas,"$662,943 "
Timothe Luwawu,"$1,923,605 "
Tyler Lydon,"$1,917,847 "
Trey Lyles,"$3,441,790 "
Scott Machado,"$77,993 "
Shelvin Mack,"$2,570,512 "
Daryl Macon,"$79,030 "
JP Macura,"$79,030 "
Ian Mahinmi,"$16,368,778 "
Thon Maker,"$2,864,249 "
Boban Marjanovic,"$9,709,488 "
Lauri Markkanen,"$4,640,671 "
Jarell Martin,"$2,471,911 "
Frank Mason,"$1,410,008 "
Yante Maten,"$393,873 "
Wesley Matthews,"$19,806,454 "
Tahjere McCall,"$48,461 "
Patrick McCaw,"$986,325 "
CJ McCollum,"$26,353,493 "
TJ McConnell,"$1,637,409 "
Doug McDermott,"$7,502,357 "
JaVale McGee,"$2,449,062 "
Rodney McGruder,"$1,580,559 "
Alfonzo McKinnie,"$1,380,484 "
Ben McLemore,"$5,585,845 "
Jordan McRae,"$79,030 "
Jodie Meeks,"$3,861,165 "
Salah Mejri,"$2,146,556 "
De'Anthony Melton,"$970,873 "
Chimezie Metu,"$857,789 "
Khris Middleton,"$13,299,632 "
CJ Miles,"$8,525,404 "
Darius Miller,"$2,255,822 "
Malcolm Miller,"$467,960 "
Patrick Mills,"$11,838,134 "
Paul Millsap,"$29,904,498 "
Shake Milton,"$79,030 "
Nikola Mirotic,"$12,788,107 "
Donovan Mitchell,"$3,183,195 "
Malik Monk,"$3,526,939 "
Greg Monroe,"$2,465,716 "
E'Twaun Moore,"$9,011,713 "
Ben Moore,"$227,217 "
Eric Moreland,"$317,000 "
Markieff Morris,"$9,384,725 "
Marcus Morris,"$5,498,886 "
Monte Morris,"$1,380,484 "
Jaylen Morris,"$79,030 "
